Year,Value,Temp,DSI
1950,4.11,54.4,-2.18
1951,3.72,56.7,-0.48
1952,4.78,52.9,2.01
1953,5.15,57.5,3.76
1954,4.67,53.2,-0.97
1955,1.85,59.1,-0.87
1956,2.08,52,-0.52
1957,2.69,55.6,-2.22
1958,3.66,52.3,1.55
1959,1.33,59.2,-1.75
1960,3.56,56.9,0.66
1961,4.9,53.2,0.83
1962,1.53,56.1,-2.18
1963,2.84,54.7,-2.85
1964,1.36,58.6,-2.29
1965,1.77,59.3,-4.51
1966,3.54,52,-4.04
1967,4.58,48.6,0.65
1968,5.79,53.4,0.57
1969,3.76,55.2,0.3
1970,3.7,57.2,-0.59
1971,4.54,53.6,-1.47
1972,5.19,56.8,1.28
1973,6.12,53.3,3.43
1974,4.09,53.2,1.41
1975,4.11,59.4,0.76
1976,5.13,54.2,2.19
1977,3.25,58.1,-0.4
1978,5.6,55.1,-0.91
1979,5.63,58.1,2.66
1980,1.77,57.9,-0.85
1981,3.22,57,-1.65
1982,3.02,57.9,0.15
1983,5.5,53.9,4.03
1984,11.96,53.7,4.73
1985,4.27,58,-3.38
1986,1.73,58.2,-1.94
1987,2.22,56.5,-0.65
1988,3.69,56.7,-1.77
1989,10.48,56.8,1.88
1990,7.76,53.3,2.66
1991,5.7,61.5,-0.85
1992,1.91,55.6,-1.43
1993,1.05,57.5,-1.05
1994,4.04,55.1,0.94
1995,3.17,54.3,-1.39
1996,3.94,54,2.29
1997,3.55,52.5,-0.31
1998,5.6,60.2,0.72
1999,5.2,57,-0.74
2000,4.94,56.6,0.18
2001,4.4,57.2,-0.9
2002,4.67,53.8,0.21
2003,4.8,54.4,0.22
2004,4.13,59.3,-1.01
2005,2.26,51.8,-0.54
2006,7.14,56,2.51
2007,1.7,58.7,-0.9
2008,2.79,53.4,1.75
2009,4.66,56.2,0.11
2010,2.85,59.7,-1.61
2011,4.77,58.8,1.89
2012,3.92,61,-2.81
2013,5.95,57,0.47
2014,5.53,56.9,0.44
2015,1.38,62.5,-2.27
2016,3.3,57.4,-2.78
2017,5.35,54.7,-2.55
2018,3.05,61,-0.58
2019,4.9,55.7,3.18
2020,2.35,55.3,-0.93